Countries,all,male,female,gendergap,Δ 2019all,Δ 2019male,Δ 2019female,Δ 2019gen. gap
,,,,,,,,
Japan,84.62,81.64,87.74,6.10,0.26,0.23,0.29,0.06
Singapore,83.74,81.50,86.10,4.60,0.15,0.10,0.20,0.10
South Korea,83.43,80.50,86.50,6.00,0.20,0.20,0.20,0.00
Norway,83.21,81.60,84.90,3.30,0.25,0.30,0.20,-0.10
Australia,83.20,81.20,85.30,4.10,0.30,0.30,0.30,0.00
Switzerland,83.10,81.10,85.20,4.10,-0.80,-1.00,-0.60,0.40
Iceland,83.07,81.70,84.50,2.80,-0.10,0.00,-0.20,-0.20
Israel,82.70,80.70,84.80,4.10,-0.10,-0.30,0.10,0.40
Malta,82.65,80.80,84.60,3.80,-0.20,-0.40,0.00,0.40
Sweden,82.41,80.70,84.20,3.50,-0.70,-0.80,-0.60,0.20
Italy,82.34,80.10,84.70,4.60,-1.15,-1.30,-1.00,0.30
Spain,82.33,79.70,85.10,5.40,-1.50,-1.40,-1.60,-0.20
Ireland,82.20,80.40,84.10,3.70,-0.50,-0.40,-0.60,-0.20
France,82.18,79.20,85.30,6.10,-0.65,-0.70,-0.60,0.10
Finland,82.13,79.40,85.00,5.60,0.15,0.10,0.20,0.10
New Zealand,82.06,80.30,83.90,3.60,0.35,0.30,0.40,0.10
Bermuda,82.06,78.30,86.00,7.70,0.19,0.17,0.21,0.04
Liechtenstein,81.81,80.10,83.60,3.50,-2.35,-2.50,-2.20,0.30
Canada,81.75,79.70,83.90,4.20,-0.30,-0.30,-0.30,0.00
Luxembourg,81.74,79.40,84.20,4.80,-0.90,-0.80,-1.00,-0.20
Denmark,81.55,79.60,83.60,4.00,0.10,0.10,0.10,0.00
Netherlands,81.41,79.80,83.10,3.30,-0.70,-0.80,-0.60,0.20
Austria,81.19,78.90,83.60,4.70,-0.70,-0.80,-0.60,0.20
Cyprus,81.14,79.10,83.15,4.05,0.15,0.18,0.12,-0.06
Greece,81.09,78.60,83.70,5.10,-0.55,-0.60,-0.50,0.10
Portugal,80.98,78.00,84.10,6.10,-0.70,-0.70,-0.70,0.00
Germany,80.94,78.60,83.40,4.80,-0.35,-0.40,-0.30,0.10
United Kingdom,80.90,79.00,82.90,3.90,-0.30,-0.40,-0.20,0.20
Belgium,80.80,78.60,83.10,4.50,-1.20,-1.20,-1.20,0.00
Slovenia,80.53,77.80,83.40,5.60,-1.00,-0.90,-1.10,-0.20
Costa Rica,80.47,77.95,83.05,5.09,0.19,0.21,0.15,-0.06
Qatar,80.36,79.31,82.15,2.83,0.14,0.17,0.14,-0.04
Chile,80.33,77.99,82.52,4.53,0.15,0.22,0.08,-0.14
Guam,80.28,77.05,83.70,6.65,0.20,0.23,0.16,-0.07
Puerto Rico,80.09,76.73,83.62,6.89,0.16,0.20,0.12,-0.08
Barbados,79.31,77.96,80.58,2.62,0.12,0.14,0.10,-0.05
Maldives,79.21,77.82,81.04,3.22,0.29,0.29,0.26,-0.04
Lebanon,79.00,77.22,80.93,3.71,0.07,0.08,0.06,-0.02
Cuba,78.89,76.94,80.86,3.93,0.09,0.09,0.08,-0.01
Albania,78.69,77.16,80.26,3.09,0.11,0.16,0.06,-0.11
Panama,78.68,75.62,81.90,6.28,0.17,0.19,0.14,-0.05
Estonia,78.35,74.20,82.70,8.50,-0.30,-0.30,-0.30,0.00
Czech Republic,78.23,75.30,81.30,6.00,-1.00,-1.10,-0.90,0.20
United Arab Emirates,78.12,77.44,79.46,2.02,0.15,0.15,0.14,-0.01
Oman,78.08,75.56,80.53,4.97,-0.72,-0.73,-0.79,-0.54
Uruguay,78.06,74.29,81.59,7.30,0.14,0.17,0.12,-0.05
Turkey,77.93,74.98,80.77,5.79,0.24,0.26,0.21,-0.05
French Polynesia,77.84,75.81,80.06,4.25,0.18,0.20,0.16,-0.03
Croatia,77.72,74.70,80.90,6.20,-0.70,-0.70,-0.70,0.00
Bosnia and Herzegovina,77.55,75.05,79.99,4.94,0.14,0.16,0.13,-0.02
Colombia,77.46,74.72,80.17,5.45,0.17,0.19,0.15,-0.04
Bahrain,77.42,76.56,78.56,2.00,0.13,0.12,0.13,0.01
Thailand,77.34,73.68,81.06,7.38,0.19,0.22,0.16,-0.06
United States,77.28,74.50,80.20,5.70,-1.51,-1.80,-1.20,0.60
Seychelles,77.24,72.70,82.00,9.30,3.19,2.80,3.60,0.80
Ecuador,77.22,74.50,80.02,5.52,0.21,0.22,0.19,-0.04
Antigua and Barbuda,77.15,75.98,78.23,2.25,0.13,0.13,0.13,0.00
Sri Lanka,77.14,73.78,80.40,6.62,0.17,0.18,0.14,-0.04
China,77.10,74.95,79.41,4.46,0.18,0.19,0.17,-0.03
Algeria,77.06,75.86,78.32,2.46,0.18,0.18,0.19,0.01
Peru,76.95,74.29,79.71,5.43,0.21,0.23,0.21,-0.02
Morocco,76.90,75.65,78.12,2.47,0.22,0.22,0.22,0.00
Tunisia,76.89,74.88,78.90,4.02,0.19,0.19,0.18,-0.01
Iran,76.87,75.78,78.09,2.31,0.19,0.18,0.20,0.02
Slovakia,76.87,73.50,80.40,6.90,-0.80,-0.80,-0.80,0.00
Argentina,76.81,73.41,80.12,6.72,0.15,0.16,0.13,-0.04
Poland,76.60,72.60,80.80,8.20,-1.30,-1.50,-1.10,0.40
Aruba,76.43,73.91,78.77,4.87,0.14,0.14,0.13,-0.01
Saint Lucia,76.34,74.98,77.72,2.74,0.14,0.13,0.14,0.02
Malaysia,76.31,74.38,78.46,4.08,0.15,0.15,0.14,-0.01
Brazil,76.08,72.46,79.74,7.27,0.20,0.22,0.18,-0.04
Brunei,76.00,74.86,77.26,2.40,0.14,0.13,0.15,0.02
Montenegro,75.93,73.20,78.80,5.60,-0.75,-0.80,-0.70,0.10
North Macedonia,75.69,73.62,77.87,4.25,-0.91,-1.08,-0.73,0.35
Hungary,75.62,72.30,79.10,6.80,-0.70,-0.80,-0.60,0.20
Kuwait,75.59,74.85,76.71,1.86,0.10,0.09,0.13,0.04
Vietnam,75.49,71.41,79.61,8.20,0.09,0.11,0.09,-0.02
Honduras,75.45,73.14,77.72,4.58,0.18,0.18,0.17,-0.01
Latvia,75.39,70.90,80.10,9.20,0.00,0.00,0.00,0.00
Saudi Arabia,75.28,74.08,76.92,2.84,0.15,0.14,0.16,0.02
Armenia,75.22,71.45,78.65,7.20,0.14,0.13,0.14,0.01
Mexico,75.13,72.30,77.93,5.63,0.08,0.10,0.05,-0.04
Lithuania,74.93,70.10,80.00,9.90,-1.35,-1.50,-1.20,0.30
Belize,74.75,71.76,77.99,6.23,0.13,0.11,0.15,0.04
Nicaragua,74.70,71.16,78.19,7.02,0.21,0.22,0.20,-0.01
Jordan,74.66,72.96,76.44,3.49,0.13,0.12,0.14,0.02
Jamaica,74.59,72.95,76.25,3.30,0.11,0.08,0.13,0.05
Guatemala,74.53,71.62,77.36,5.74,0.23,0.24,0.21,-0.03
Paraguay,74.36,72.36,76.52,4.17,0.11,0.09,0.13,0.04
Romania,74.35,70.50,78.40,7.90,-1.25,-1.40,-1.10,0.30
Dominican Republic,74.26,71.17,77.55,6.38,0.18,0.18,0.17,-0.01
Serbia,74.23,71.40,77.20,5.80,-1.71,-2.00,-1.40,0.60
Belarus,74.23,69.30,79.40,10.10,0.00,0.00,0.00,0.00
Mauritius,74.18,70.86,77.66,6.80,-0.06,-0.21,0.10,0.31
Bahamas,74.05,71.78,76.23,4.45,0.13,0.12,0.15,0.03
Georgia,73.92,69.51,78.27,8.77,0.15,0.16,0.13,-0.03
Caribbean small states,73.87,71.65,76.16,4.51,0.12,0.10,0.13,0.03
Syria,73.65,69.39,78.42,9.03,0.95,1.45,0.32,-1.13
Trinidad and Tobago,73.63,70.99,76.35,5.37,0.12,0.11,0.13,0.02
Bulgaria,73.61,69.90,77.50,7.60,-1.50,-1.70,-1.30,0.40
El Salvador,73.53,68.69,78.04,9.35,0.22,0.23,0.20,-0.03
Samoa,73.45,71.44,75.61,4.17,0.13,0.12,0.14,0.03
Cape Verde,73.17,69.72,76.38,6.66,0.19,0.20,0.19,-0.01
Solomon Islands,73.13,71.42,75.01,3.60,0.14,0.12,0.15,0.03
Azerbaijan,73.12,70.63,75.57,4.94,0.12,0.12,0.12,0.00
Libya,73.08,70.27,76.11,5.83,0.17,0.17,0.15,-0.02
Bangladesh,72.87,71.13,74.89,3.76,0.28,0.25,0.30,0.05
World,72.75,70.57,75.06,4.49,-0.02,-0.03,-0.01,0.02
Saint Vincent and the Grenadines,72.66,70.39,75.26,4.87,0.12,0.11,0.13,0.03
North Korea,72.45,68.80,75.93,7.13,0.18,0.18,0.19,0.00
Grenada,72.43,70.10,74.98,4.89,0.03,0.02,0.03,0.01
Egypt,72.15,69.88,74.53,4.65,0.16,0.14,0.18,0.04
Bhutan,72.08,71.67,72.52,0.85,0.30,0.27,0.35,0.08
Venezuela,72.07,68.32,76.00,7.68,0.00,-0.00,-0.00,-0.00
Moldova,72.01,67.73,76.25,8.53,0.11,0.10,0.10,-0.01
Indonesia,71.91,69.75,74.17,4.42,0.19,0.18,0.21,0.03
Uzbekistan,71.85,69.70,73.97,4.27,0.12,0.11,0.14,0.03
Suriname,71.80,68.58,75.19,6.62,0.12,0.11,0.13,0.02
Kyrgyzstan,71.80,67.80,76.00,8.20,0.20,0.20,0.20,0.00
Bolivia,71.77,68.93,74.78,5.85,0.26,0.24,0.27,0.03
Greenland,71.40,69.59,73.31,3.72,-0.64,-0.56,-0.73,-0.17
Kazakhstan,71.37,67.09,75.53,8.44,-1.81,-1.73,-1.77,-0.04
Philippines,71.36,67.39,75.62,8.23,0.13,0.13,0.12,-0.01
Russia,71.34,66.49,76.43,9.94,-1.75,-1.75,-1.74,0.01
Tajikistan,71.30,69.12,73.60,4.48,0.20,0.19,0.21,0.02
Ukraine,71.19,66.39,76.22,9.83,-0.64,-0.53,-0.76,-0.23
Nepal,71.07,69.52,72.51,2.99,0.29,0.26,0.30,0.04
Tonga,71.02,69.06,73.02,3.96,0.11,0.09,0.13,0.04
Iraq,70.75,68.69,72.81,4.12,0.14,0.13,0.16,0.04
Vanuatu,70.62,69.11,72.32,3.21,0.15,0.13,0.17,0.04
São Tomé and Príncipe,70.58,68.16,73.03,4.87,0.20,0.18,0.22,0.04
Pacific island small states,70.23,68.37,72.22,3.85,0.15,0.12,0.17,0.05
Mongolia,70.06,65.97,74.33,8.35,0.19,0.17,0.18,0.01
Cambodia,70.05,67.75,72.16,4.41,0.23,0.21,0.25,0.04
Guyana,70.02,67.04,73.22,6.18,0.12,0.11,0.12,0.01
Small states,69.95,68.27,71.82,3.55,0.17,0.16,0.18,0.02
India,69.89,68.68,71.20,2.52,0.23,0.21,0.25,0.04
Botswana,69.79,66.67,72.60,5.94,0.20,0.18,0.22,0.04
East Timor,69.71,67.69,71.87,4.18,0.22,0.20,0.23,0.03
Rwanda,69.33,67.11,71.46,4.35,0.30,0.29,0.32,0.04
Other small states,69.03,67.54,70.72,3.18,0.20,0.19,0.21,0.03
Kiribati,68.61,64.48,72.57,8.09,0.24,0.23,0.23,-0.01
Turkmenistan,68.31,64.81,71.85,7.04,0.12,0.11,0.14,0.03
Laos,68.22,66.42,70.06,3.64,0.30,0.28,0.32,0.03
Senegal,68.21,66.01,70.20,4.19,0.27,0.26,0.28,0.03
Micronesia,68.00,66.33,69.73,3.40,0.12,0.10,0.14,0.04
Fiji,67.56,65.77,69.50,3.73,0.12,0.07,0.17,0.10
Djibouti,67.49,65.47,69.77,4.30,0.38,0.35,0.41,0.06
Pakistan,67.43,66.47,68.46,1.99,0.16,0.13,0.18,0.04
Madagascar,67.39,65.75,69.05,3.30,0.35,0.33,0.37,0.04
Myanmar,67.36,64.28,70.34,6.07,0.23,0.23,0.22,-0.01
Kenya,66.99,64.59,69.35,4.76,0.29,0.28,0.30,0.02
Ethiopia,66.95,65.04,68.91,3.87,0.36,0.34,0.37,0.03
Gabon,66.69,64.58,68.93,4.35,0.22,0.19,0.26,0.07
Eritrea,66.68,64.50,68.92,4.43,0.36,0.34,0.37,0.03
Yemen,66.18,64.49,67.89,3.39,0.06,0.05,0.06,0.01
Tanzania,65.81,64.01,67.59,3.58,0.36,0.37,0.35,-0.01
Sudan,65.53,63.66,67.43,3.76,0.22,0.20,0.24,0.04
Afghanistan,65.17,63.71,66.74,3.04,0.34,0.33,0.36,0.03
Mauritania,65.13,63.50,66.73,3.23,0.20,0.20,0.22,0.02
Congo,64.80,63.29,66.29,3.00,0.23,0.21,0.26,0.06
Papua New Guinea,64.72,63.48,66.06,2.58,0.22,0.21,0.24,0.03
Malawi,64.69,61.52,67.85,6.33,0.43,0.42,0.44,0.01
Comoros,64.53,62.77,66.34,3.57,0.20,0.19,0.22,0.03
Liberia,64.42,63.02,65.83,2.81,0.32,0.30,0.33,0.03
South Africa,64.38,60.97,67.93,6.96,0.25,0.24,0.25,0.01
Ghana,64.35,63.24,65.48,2.24,0.27,0.25,0.30,0.05
Haiti,64.31,62.13,66.51,4.37,0.31,0.30,0.32,0.02
Zambia,64.19,61.12,67.24,6.11,0.31,0.28,0.34,0.07
Namibia,64.05,61.02,66.85,5.84,0.34,0.33,0.34,0.01
Uganda,63.71,61.32,66.00,4.68,0.34,0.32,0.38,0.06
Niger,62.79,61.64,64.01,2.37,0.37,0.36,0.39,0.03
Gambia,62.38,60.97,63.83,2.86,0.33,0.31,0.35,0.03
Benin,62.08,60.49,63.65,3.15,0.31,0.29,0.32,0.03
Burkina Faso,61.98,61.12,62.72,1.60,0.40,0.38,0.43,0.05
Guinea,61.96,61.18,62.51,1.33,0.36,0.33,0.39,0.06
Burundi,61.92,60.09,63.72,3.63,0.33,0.32,0.34,0.02
